technique_id,technique_description,tactic_description,matched_malicious_indicators_count,matched_suspicious_indicators_count,matched_informative_indicators_count
T1106,"Native API",Execution,0,0,11
T1059.001,PowerShell,Execution,1,1,7
T1559,"Inter-Process Communication",Execution,0,0,1
T1129,"Shared Modules",Execution,0,0,5
T1569.002,"Service Execution",Execution,0,0,2
T1047,"Windows Management Instrumentation",Execution,0,0,1
T1059,"Command and Scripting Interpreter",Execution,0,0,1
T1543.003,"Windows Service",Persistence,0,0,4
T1197,"BITS Jobs",Persistence,0,0,1
T1546.003,"Windows Management Instrumentation Event Subscription",Persistence,0,0,1
T1547,"Boot or Logon Autostart Execution",Persistence,0,1,0
T1543,"Create or Modify System Process",Persistence,0,0,1
T1546.015,"Component Object Model Hijacking",Persistence,0,0,1
T1574.002,"DLL Side-Loading",Persistence,0,0,1
T1055.001,"Dynamic-link Library Injection","Privilege Escalation",0,0,1
T1543.003,"Windows Service","Privilege Escalation",0,0,4
T1546.003,"Windows Management Instrumentation Event Subscription","Privilege Escalation",0,0,1
T1055.003,"Thread Execution Hijacking","Privilege Escalation",0,0,1
T1055,"Process Injection","Privilege Escalation",0,0,1
T1547,"Boot or Logon Autostart Execution","Privilege Escalation",0,1,0
T1134,"Access Token Manipulation","Privilege Escalation",0,0,2
T1543,"Create or Modify System Process","Privilege Escalation",0,0,1
T1546.015,"Component Object Model Hijacking","Privilege Escalation",0,0,1
T1574.002,"DLL Side-Loading","Privilege Escalation",0,0,1
T1070.004,"File Deletion","Defense Evasion",0,2,2
T1027,"Obfuscated Files or Information","Defense Evasion",0,3,5
T1055.001,"Dynamic-link Library Injection","Defense Evasion",0,0,1
T1070.006,Timestomp,"Defense Evasion",0,0,1
T1112,"Modify Registry","Defense Evasion",0,2,3
T1562.001,"Disable or Modify Tools","Defense Evasion",0,0,4
T1197,"BITS Jobs","Defense Evasion",0,0,1
T1036.003,"Rename System Utilities","Defense Evasion",0,0,1
T1070.003,"Clear Command History","Defense Evasion",0,0,1
T1497,"Virtualization/Sandbox Evasion","Defense Evasion",0,0,1
T1564,"Hide Artifacts","Defense Evasion",0,0,1
T1497.001,"System Checks","Defense Evasion",0,0,1
T1055.003,"Thread Execution Hijacking","Defense Evasion",0,0,1
T1497.003,"Time Based Evasion","Defense Evasion",0,0,3
T1055,"Process Injection","Defense Evasion",0,0,1
T1134,"Access Token Manipulation","Defense Evasion",0,0,2
T1070,"Indicator Removal","Defense Evasion",0,0,1
T1564.003,"Hidden Window","Defense Evasion",0,0,1
T1036.005,"Match Legitimate Name or Location","Defense Evasion",0,0,1
T1140,"Deobfuscate/Decode Files or Information","Defense Evasion",0,0,2
T1574.002,"DLL Side-Loading","Defense Evasion",0,0,1
T1620,"Reflective Code Loading","Defense Evasion",0,0,1
T1036,Masquerading,"Defense Evasion",0,0,1
T1480,"Execution Guardrails","Defense Evasion",0,0,1
T1003,"OS Credential Dumping","Credential Access",0,0,1
T1083,"File and Directory Discovery",Discovery,0,0,10
T1082,"System Information Discovery",Discovery,0,2,17
T1012,"Query Registry",Discovery,0,1,7
T1057,"Process Discovery",Discovery,0,2,10
T1614,"System Location Discovery",Discovery,0,0,2
T1497,"Virtualization/Sandbox Evasion",Discovery,0,0,1
T1497.001,"System Checks",Discovery,0,0,1
T1124,"System Time Discovery",Discovery,0,0,1
T1497.003,"Time Based Evasion",Discovery,0,0,3
T1614.001,"System Language Discovery",Discovery,0,0,2
T1033,"System Owner/User Discovery",Discovery,0,0,2
T1654,"Log Enumeration",Discovery,0,0,1
T1007,"System Service Discovery",Discovery,0,0,1
T1010,"Application Window Discovery",Discovery,0,0,1
T1570,"Lateral Tool Transfer","Lateral Movement",0,0,2
T1021.006,"Windows Remote Management","Lateral Movement",0,0,1
T1005,"Data from Local System",Collection,0,0,1
T1119,"Automated Collection",Collection,0,0,1
T1071,"Application Layer Protocol","Command and Control",0,0,4
T1090,Proxy,"Command and Control",0,0,1
T1105,"Ingress Tool Transfer","Command and Control",0,0,5
T1132,"Data Encoding","Command and Control",0,3,0
T1573.002,"Asymmetric Cryptography","Command and Control",0,1,0
T1573,"Encrypted Channel","Command and Control",0,1,1
T1029,"Scheduled Transfer",Exfiltration,0,0,1
T1565,"Data Manipulation",Impact,0,0,1
T1486,"Data Encrypted for Impact",Impact,0,2,0
T1489,"Service Stop",Impact,0,0,2
