technique_id,technique_description,tactic_description,matched_malicious_indicators_count,matched_suspicious_indicators_count,matched_informative_indicators_count
T1106,"Native API",Execution,0,0,2
T1027,"Obfuscated Files or Information","Defense Evasion",2,2,3
T1140,"Deobfuscate/Decode Files or Information","Defense Evasion",0,0,1
T1016,"System Network Configuration Discovery",Discovery,0,0,1
T1083,"File and Directory Discovery",Discovery,0,0,2
T1082,"System Information Discovery",Discovery,0,1,0
T1018,"Remote System Discovery",Discovery,0,1,0
T1049,"System Network Connections Discovery",Discovery,0,0,1
T1071,"Application Layer Protocol","Command and Control",0,0,1
T1095,"Non-Application Layer Protocol","Command and Control",0,1,0
T1071.004,DNS,"Command and Control",0,0,1
T1573.001,"Symmetric Cryptography","Command and Control",0,0,1
