technique_id,technique_description,tactic_description,matched_malicious_indicators_count,matched_suspicious_indicators_count,matched_informative_indicators_count
T1129,"Shared Modules",Execution,0,0,1
T1106,"Native API",Execution,0,0,2
T1546.006,"LC_LOAD_DYLIB Addition",Persistence,0,0,1
T1546.006,"LC_LOAD_DYLIB Addition","Privilege Escalation",0,0,1
T1027,"Obfuscated Files or Information","Defense Evasion",0,1,3
T1140,"Deobfuscate/Decode Files or Information","Defense Evasion",0,0,1
T1082,"System Information Discovery",Discovery,0,1,0
T1083,"File and Directory Discovery",Discovery,0,0,1
T1124,"System Time Discovery",Discovery,0,0,1
T1071,"Application Layer Protocol","Command and Control",0,0,1
T1071.004,DNS,"Command and Control",0,0,1
T1573.001,"Symmetric Cryptography","Command and Control",0,0,1
