technique_id,technique_description,tactic_description,matched_malicious_indicators_count,matched_suspicious_indicators_count,matched_informative_indicators_count
T1588.004,"Digital Certificates","Resource Development",0,1,0
T1106,"Native API",Execution,0,1,11
T1559,"Inter-Process Communication",Execution,0,0,1
T1569.002,"Service Execution",Execution,0,0,1
T1059.003,"Windows Command Shell",Execution,0,0,1
T1129,"Shared Modules",Execution,0,0,3
T1543.003,"Windows Service",Persistence,0,0,7
T1098,"Account Manipulation",Persistence,0,0,1
T1055.001,"Dynamic-link Library Injection","Privilege Escalation",0,0,2
T1055.003,"Thread Execution Hijacking","Privilege Escalation",0,1,2
T1543.003,"Windows Service","Privilege Escalation",0,0,7
T1134.001,"Token Impersonation/Theft","Privilege Escalation",0,0,3
T1134.002,"Create Process with Token","Privilege Escalation",0,0,1
T1055,"Process Injection","Privilege Escalation",0,0,1
T1098,"Account Manipulation","Privilege Escalation",0,0,1
T1134,"Access Token Manipulation","Privilege Escalation",0,0,2
T1055.004,"Asynchronous Procedure Call","Privilege Escalation",0,0,1
T1548.002,"Bypass User Account Control","Privilege Escalation",0,0,1
T1055.011,"Extra Window Memory Injection","Privilege Escalation",0,1,0
T1055.001,"Dynamic-link Library Injection","Defense Evasion",0,0,2
T1055.003,"Thread Execution Hijacking","Defense Evasion",0,1,2
T1562.001,"Disable or Modify Tools","Defense Evasion",0,0,1
T1134.001,"Token Impersonation/Theft","Defense Evasion",0,0,3
T1070.006,Timestomp,"Defense Evasion",0,0,2
T1134.002,"Create Process with Token","Defense Evasion",0,0,1
T1222,"File and Directory Permissions Modification","Defense Evasion",0,0,1
T1027,"Obfuscated Files or Information","Defense Evasion",0,4,5
T1112,"Modify Registry","Defense Evasion",0,0,4
T1055,"Process Injection","Defense Evasion",0,0,1
T1497.003,"Time Based Evasion","Defense Evasion",0,0,2
T1564,"Hide Artifacts","Defense Evasion",0,0,1
T1480,"Execution Guardrails","Defense Evasion",0,0,2
T1620,"Reflective Code Loading","Defense Evasion",0,0,1
T1006,"Direct Volume Access","Defense Evasion",0,0,1
T1497.002,"User Activity Based Checks","Defense Evasion",0,0,1
T1497,"Virtualization/Sandbox Evasion","Defense Evasion",0,0,1
T1134,"Access Token Manipulation","Defense Evasion",0,0,2
T1055.004,"Asynchronous Procedure Call","Defense Evasion",0,0,1
T1070,"Indicator Removal","Defense Evasion",0,1,0
T1140,"Deobfuscate/Decode Files or Information","Defense Evasion",0,0,2
T1070.004,"File Deletion","Defense Evasion",0,0,1
T1564.003,"Hidden Window","Defense Evasion",0,0,2
T1027.002,"Software Packing","Defense Evasion",0,1,1
T1027.009,"Embedded Payloads","Defense Evasion",0,1,0
T1548.002,"Bypass User Account Control","Defense Evasion",0,0,1
T1497.001,"System Checks","Defense Evasion",0,0,1
T1055.011,"Extra Window Memory Injection","Defense Evasion",0,1,0
T1056.001,Keylogging,"Credential Access",0,0,2
T1056,"Input Capture","Credential Access",0,0,1
T1555,"Credentials from Password Stores","Credential Access",0,0,1
T1083,"File and Directory Discovery",Discovery,0,0,7
T1082,"System Information Discovery",Discovery,0,1,18
T1010,"Application Window Discovery",Discovery,0,0,2
T1057,"Process Discovery",Discovery,0,1,6
T1049,"System Network Connections Discovery",Discovery,0,1,3
T1018,"Remote System Discovery",Discovery,0,1,1
T1497.003,"Time Based Evasion",Discovery,0,0,2
T1497.002,"User Activity Based Checks",Discovery,0,0,1
T1497,"Virtualization/Sandbox Evasion",Discovery,0,0,1
T1614,"System Location Discovery",Discovery,0,0,1
T1614.001,"System Language Discovery",Discovery,0,0,1
T1033,"System Owner/User Discovery",Discovery,0,0,1
T1124,"System Time Discovery",Discovery,0,0,2
T1012,"Query Registry",Discovery,0,1,4
T1016,"System Network Configuration Discovery",Discovery,0,0,3
T1007,"System Service Discovery",Discovery,0,0,2
T1087,"Account Discovery",Discovery,0,0,1
T1087.001,"Local Account",Discovery,0,0,1
T1135,"Network Share Discovery",Discovery,0,0,1
T1518.001,"Security Software Discovery",Discovery,0,1,0
T1497.001,"System Checks",Discovery,0,0,1
T1570,"Lateral Tool Transfer","Lateral Movement",0,0,1
T1074.001,"Local Data Staging",Collection,0,0,1
T1113,"Screen Capture",Collection,0,0,1
T1114,"Email Collection",Collection,0,1,0
T1056.001,Keylogging,Collection,0,0,2
T1056,"Input Capture",Collection,0,0,1
T1115,"Clipboard Data",Collection,0,0,1
T1119,"Automated Collection",Collection,0,0,1
T1071,"Application Layer Protocol","Command and Control",0,1,4
T1095,"Non-Application Layer Protocol","Command and Control",0,0,1
T1105,"Ingress Tool Transfer","Command and Control",0,0,1
T1573,"Encrypted Channel","Command and Control",0,1,1
T1571,"Non-Standard Port","Command and Control",1,0,1
T1132,"Data Encoding","Command and Control",0,0,1
T1071.004,DNS,"Command and Control",0,0,1
T1573.001,"Symmetric Cryptography","Command and Control",0,0,1
T1029,"Scheduled Transfer",Exfiltration,0,0,1
T1529,"System Shutdown/Reboot",Impact,0,0,1
T1486,"Data Encrypted for Impact",Impact,0,1,3
T1489,"Service Stop",Impact,0,0,2
T1485,"Data Destruction",Impact,0,0,1
